"customer_id","total_rental","max"
1,"32","2005-08-22 20:03:46"
2,"27","2005-08-23 17:39:35"
3,"26","2005-08-23 07:10:14"
4,"22","2005-08-23 07:43:00"
5,"38","2006-02-14 15:16:03"
6,"28","2005-08-23 06:41:32"
7,"33","2005-08-21 04:49:48"
8,"24","2005-08-23 14:31:19"
9,"23","2006-02-14 15:16:03"
10,"25","2005-08-22 21:59:29"
11,"24","2006-02-14 15:16:03"
12,"28","2005-08-23 20:28:44"
13,"27","2005-08-22 20:51:24"
14,"28","2006-02-14 15:16:03"
15,"32","2006-02-14 15:16:03"
16,"28","2005-08-21 14:45:34"
17,"21","2005-08-23 12:41:38"
18,"22","2005-08-20 01:29:29"
19,"24","2005-08-23 03:46:47"
20,"30","2005-08-23 01:10:42"
21,"35","2006-02-14 15:16:03"
22,"22","2006-02-14 15:16:03"
23,"30","2006-02-14 15:16:03"
24,"25","2005-08-22 21:28:59"
25,"29","2005-08-23 20:00:30"
26,"34","2005-08-23 11:16:29"
27,"31","2005-08-22 10:00:04"
28,"32","2006-02-14 15:16:03"
29,"36","2006-02-14 15:16:03"
30,"34","2005-08-23 15:17:14"
31,"26","2005-08-23 14:58:06"
32,"29","2005-08-21 16:32:32"
33,"21","2006-02-14 15:16:03"
34,"24","2005-08-21 20:54:32"
35,"32","2005-08-21 22:25:09"
36,"27","2005-08-23 08:42:40"
37,"23","2005-08-23 22:08:04"
38,"34","2005-08-23 11:55:50"
39,"29","2005-08-22 12:51:38"
40,"27","2005-08-22 16:06:49"
41,"25","2006-02-14 15:16:03"
42,"30","2006-02-14 15:16:03"
43,"24","2006-02-14 15:16:03"
44,"26","2006-02-14 15:16:03"
45,"27","2005-08-23 22:13:04"
46,"34","2005-08-23 12:47:26"
47,"22","2005-08-23 15:39:18"
48,"17","2005-08-22 17:27:23"
49,"28","2005-08-21 20:02:18"
50,"35","2005-08-23 21:25:03"
51,"33","2005-08-22 04:31:50"
52,"29","2006-02-14 15:16:03"
53,"30","2006-02-14 15:16:03"
54,"29","2005-08-23 05:20:36"
55,"22","2005-08-22 19:37:20"
56,"30","2006-02-14 15:16:03"
57,"28","2005-08-23 16:24:24"
58,"27","2006-02-14 15:16:03"
59,"27","2005-08-23 17:33:04"
60,"25","2006-02-14 15:16:03"
61,"14","2005-08-23 09:35:34"
62,"23","2005-08-23 06:11:52"
63,"25","2005-08-22 17:30:25"
64,"33","2006-02-14 15:16:03"
65,"22","2005-08-21 09:08:51"
66,"34","2005-08-23 06:23:26"
67,"22","2005-08-22 11:19:22"
68,"22","2005-08-23 03:36:26"
69,"25","2006-02-14 15:16:03"
70,"18","2005-08-23 07:06:38"
71,"30","2005-08-23 20:44:36"
72,"30","2005-08-22 13:57:55"
73,"24","2006-02-14 15:16:03"
74,"27","2005-08-23 22:26:47"
75,"41","2006-02-14 15:16:03"
76,"23","2005-08-23 05:17:23"
77,"28","2005-08-22 21:34:00"
78,"31","2005-08-23 22:18:51"
79,"22","2005-08-21 03:14:27"
80,"30","2006-02-14 15:16:03"
81,"22","2005-08-23 16:45:28"
82,"26","2005-08-23 03:12:54"
83,"25","2006-02-14 15:16:03"
84,"33","2005-08-22 18:16:50"
85,"23","2005-08-20 10:25:12"
86,"33","2005-08-23 18:45:06"
87,"30","2006-02-14 15:16:03"
88,"21","2005-08-23 17:13:01"
89,"32","2005-08-23 15:38:34"
90,"28","2005-08-23 09:16:39"
91,"35","2006-02-14 15:16:03"
92,"28","2005-08-22 07:53:14"
93,"23","2005-08-23 17:48:30"
94,"21","2006-02-14 15:16:03"
95,"18","2005-08-21 03:51:52"
96,"27","2005-08-23 20:24:36"
97,"18","2005-08-22 08:20:15"
98,"25","2005-08-23 03:58:28"
99,"24","2006-02-14 15:16:03"
100,"24","2006-02-14 15:16:03"
101,"24","2006-02-14 15:16:03"
102,"33","2005-08-23 21:59:26"
103,"31","2005-08-23 22:43:07"
104,"24","2005-08-22 15:52:57"
105,"26","2005-08-23 14:27:07"
106,"23","2005-08-22 14:27:37"
107,"30","2006-02-14 15:16:03"
108,"30","2006-02-14 15:16:03"
109,"26","2005-08-23 09:23:36"
110,"14","2005-08-22 22:28:36"
111,"26","2006-02-14 15:16:03"
112,"30","2005-08-23 12:47:05"
113,"29","2005-08-23 13:18:16"
114,"33","2006-02-14 15:16:03"
115,"30","2006-02-14 15:16:03"
116,"27","2005-08-22 04:44:09"
117,"19","2005-08-23 00:26:52"
118,"21","2005-08-23 11:33:25"
119,"34","2005-08-23 21:52:56"
120,"32","2006-02-14 15:16:03"
121,"26","2005-08-23 22:20:26"
122,"32","2005-08-21 19:51:09"
123,"24","2005-08-23 13:51:57"
124,"18","2005-08-23 21:45:02"
125,"32","2005-08-22 10:14:39"
126,"28","2005-08-23 21:02:43"
127,"24","2005-08-23 11:40:30"
128,"32","2005-08-23 15:25:27"
129,"34","2005-08-22 06:46:59"
130,"24","2005-08-23 13:29:08"
131,"30","2005-08-23 22:20:40"
132,"28","2005-08-23 16:30:55"
133,"27","2005-08-23 21:07:59"
134,"23","2005-08-23 19:42:46"
135,"30","2006-02-14 15:16:03"
136,"15","2005-08-23 00:34:28"
137,"39","2005-08-23 21:56:04"
138,"34","2005-08-23 02:39:56"
139,"27","2005-08-23 12:12:05"
140,"18","2005-08-23 15:47:02"
141,"32","2005-08-23 19:45:25"
142,"26","2006-02-14 15:16:03"
143,"22","2005-08-23 21:54:02"
144,"42","2005-08-23 12:43:30"
145,"28","2005-08-21 10:15:20"
146,"29","2005-08-23 15:36:05"
147,"34","2005-08-23 20:53:20"
148,"46","2005-08-23 05:57:04"
149,"26","2005-08-23 05:04:33"
150,"25","2005-08-21 19:47:55"
151,"27","2005-08-23 20:31:38"
152,"21","2006-02-14 15:16:03"
153,"24","2005-08-23 06:15:09"
154,"30","2005-08-23 11:16:16"
155,"25","2006-02-14 15:16:03"
156,"25","2005-08-22 23:26:32"
157,"31","2005-08-22 07:04:25"
158,"32","2005-08-23 14:26:51"
159,"21","2005-08-22 16:14:25"
160,"27","2005-08-23 21:49:33"
161,"30","2005-08-22 23:55:51"
162,"20","2006-02-14 15:16:03"
163,"29","2006-02-14 15:16:03"
164,"16","2005-08-20 00:30:51"
165,"21","2005-08-23 15:23:50"
166,"28","2005-08-23 14:31:50"
167,"32","2005-08-23 17:52:01"
168,"34","2006-02-14 15:16:03"
169,"22","2005-08-23 09:33:22"
170,"26","2005-08-23 04:27:06"
171,"26","2005-08-23 14:43:15"
172,"33","2005-08-23 22:14:31"
173,"29","2005-08-23 21:10:24"
174,"21","2005-08-23 20:06:23"
175,"24","2006-02-14 15:16:03"
176,"37","2005-08-23 18:36:44"
177,"23","2005-08-22 03:55:02"
178,"39","2006-02-14 15:16:03"
179,"29","2005-08-23 20:20:23"
180,"23","2006-02-14 15:16:03"
181,"34","2006-02-14 15:16:03"
182,"26","2005-08-22 09:49:32"
183,"23","2005-08-20 03:35:16"
184,"23","2005-08-23 06:56:18"
185,"23","2005-08-21 14:51:35"
186,"31","2006-02-14 15:16:03"
187,"28","2005-08-23 19:59:33"
188,"25","2006-02-14 15:16:03"
189,"22","2005-08-23 21:04:51"
190,"27","2006-02-14 15:16:03"
191,"20","2006-02-14 15:16:03"
192,"23","2006-02-14 15:16:03"
193,"25","2006-02-14 15:16:03"
194,"18","2005-08-23 18:43:22"
195,"19","2005-08-23 22:19:33"
196,"35","2005-08-23 20:10:13"
197,"40","2005-08-23 04:12:52"
198,"37","2005-08-23 00:27:18"
199,"25","2006-02-14 15:16:03"
200,"27","2006-02-14 15:16:03"
201,"25","2005-08-23 20:06:04"
202,"26","2005-08-23 13:22:56"
203,"20","2005-08-23 20:27:34"
204,"35","2005-08-22 23:48:56"
205,"18","2005-08-22 23:54:14"
206,"27","2005-08-23 10:36:00"
207,"34","2005-08-23 07:25:29"
208,"26","2006-02-14 15:16:03"
209,"32","2005-08-23 02:51:27"
210,"31","2005-08-23 18:48:40"
211,"34","2006-02-14 15:16:03"
212,"20","2005-08-23 18:05:10"
213,"28","2006-02-14 15:16:03"
214,"31","2006-02-14 15:16:03"
215,"26","2006-02-14 15:16:03"
216,"23","2006-02-14 15:16:03"
217,"23","2005-08-22 19:02:48"
218,"18","2005-08-23 05:30:19"
219,"26","2006-02-14 15:16:03"
220,"27","2005-08-23 10:32:52"
221,"28","2005-08-22 12:53:22"
222,"21","2005-08-21 08:58:38"
223,"17","2005-08-23 08:52:50"
224,"22","2005-08-23 19:11:29"
225,"26","2005-08-21 12:07:25"
226,"21","2005-08-23 22:06:15"
227,"24","2006-02-14 15:16:03"
228,"27","2006-02-14 15:16:03"
229,"25","2006-02-14 15:16:03"
230,"33","2005-08-21 08:38:21"
231,"26","2005-08-22 22:51:13"
232,"25","2005-08-23 04:33:39"
233,"23","2005-08-23 15:03:58"
234,"26","2006-02-14 15:16:03"
235,"25","2005-08-22 09:33:08"
236,"42","2006-02-14 15:16:03"
237,"33","2005-08-23 18:28:09"
238,"21","2005-08-23 01:05:00"
239,"34","2005-08-20 22:34:34"
240,"26","2005-08-23 08:06:49"
241,"34","2005-08-23 13:14:15"
242,"32","2005-08-22 08:06:00"
243,"24","2005-08-21 21:02:55"
244,"32","2006-02-14 15:16:03"
245,"32","2006-02-14 15:16:03"
246,"23","2005-08-23 12:26:19"
247,"22","2005-08-23 13:45:44"
248,"15","2005-08-22 03:58:29"
249,"23","2005-08-22 14:33:50"
250,"20","2005-08-22 17:52:05"
251,"31","2006-02-14 15:16:03"
252,"22","2006-02-14 15:16:03"
253,"29","2005-08-22 17:12:29"
254,"32","2005-08-23 13:25:08"
255,"18","2005-08-21 17:45:21"
256,"30","2005-08-23 16:18:12"
257,"37","2005-08-23 19:51:29"
258,"24","2005-08-22 04:31:37"
259,"32","2005-08-23 09:52:55"
260,"31","2005-08-21 17:59:09"
261,"26","2005-08-22 23:08:46"
262,"28","2005-08-23 17:57:35"
263,"29","2006-02-14 15:16:03"
264,"25","2006-02-14 15:16:03"
265,"29","2005-08-22 05:59:59"
266,"28","2005-08-22 21:06:00"
267,"36","2006-02-14 15:16:03"
268,"29","2005-08-22 15:49:54"
269,"30","2006-02-14 15:16:03"
270,"25","2005-08-23 07:10:22"
271,"18","2005-08-22 17:48:42"
272,"20","2005-08-20 16:07:55"
273,"35","2005-08-23 12:50:00"
274,"35","2006-02-14 15:16:03"
275,"30","2005-08-23 02:30:23"
276,"28","2005-08-23 18:08:19"
277,"32","2005-08-22 21:05:50"
278,"26","2005-08-23 21:30:45"
279,"31","2006-02-14 15:16:03"
280,"27","2005-08-23 19:09:39"
281,"14","2005-08-21 03:40:40"
282,"27","2006-02-14 15:16:03"
283,"28","2005-08-23 15:29:41"
284,"28","2006-02-14 15:16:03"
285,"26","2005-08-23 02:06:41"
286,"27","2005-08-23 07:28:22"
287,"29","2006-02-14 15:16:03"
288,"24","2005-08-22 12:41:33"
289,"30","2005-08-22 05:03:59"
290,"28","2005-08-20 08:57:51"
291,"23","2005-08-23 08:54:26"
292,"27","2005-08-22 12:38:20"
293,"31","2005-08-23 09:18:52"
294,"26","2005-08-23 15:34:46"
295,"38","2006-02-14 15:16:03"
296,"30","2006-02-14 15:16:03"
297,"33","2005-08-23 10:43:00"
298,"26","2005-08-23 08:13:26"
299,"30","2005-08-22 04:26:34"
300,"31","2006-02-14 15:16:03"
301,"21","2005-08-22 18:39:11"
302,"29","2005-08-23 20:22:17"
303,"26","2005-08-23 02:55:42"
304,"26","2005-08-22 06:05:38"
305,"25","2005-08-23 06:59:07"
